page,idx_on_page,question,answer
3,4,[ 블루링크 > 가입/해지/변경 ][변경] 서비스 이용 중 가입 정보 변경이 필요할 때는 어떻게 하나요?,"블루링크 센터를 통해 가입 정보를 변경하실 수 있습니다.
※ 블루링크 센터
- 전화 : 1899-0606
- 업무시간 : 평일 09:00 ~ 18:00 (토/일요일 및 공휴일 휴무)"
3,5,[ 차량구매 > 일반 ]세이브오토 이용에 관해 알고 싶습니다.,"▶ 현대자동차 신차 구입시 현대카드M을 이용하여 선수금을 10만원 이상 결제하시는 경우
차량구매 대금중 일부를 해당포인트(20만/30만/50만)만큼 先할인해 드립니다.

先할인 받으신 금액은 이후 36개월 동안 고객님의 현대카드M 사용실적에 따라 적립되는
포인트로 상환하시게 되며,미상환 하신 경우 익월 카드대금 청구시 전액 청구됩니다.

세이브오토 프로그램은 적용을 원하시는 고객께서 신청하시는 경우에만 적용되고
이용기간 중 미상환하신 포인트에 대한 대금청구시 이자는 부과되지 않습니다."
3,6,[ 블루링크 > 가입/해지/변경 ][해지] 블루링크를 이용하다가 차량을 매각하거나 타인에게 양도한 경우에는 어떻게 해야 하나요?,"차량을 매각하거나 타인에게 양도하신 경우에는 이용하시던 블루링크를 반드시 해지하셔야 합니다.
차량을 매각하시면서 서비스를 해지하지 않으시면 계속 요금이 부과됩니다."
3,7,[ 차량구매 > 일반 ]차량구입시 신용카드는 얼마까지 이용할 수 있나요?,"▶ 자동차 구입시 신용카드를 이용한 결제는 고객님 신용카드 한도내에서 희망하시는 금액
     까지 자유로이 결제가 가능합니다."
3,8,[ 차량구매 > 일반 ]차량구입시 장착되는 타이어는 선택이 가능한가요?,당사에서 생산되는 차량은 타이어 제조사別 임의 선택은 불가합니다.
3,9,[ 차량구매 > 일반 ]차량 대금을 신용카드로 결제하려고 합니다. 계약자 이외의 다른 사람의 카드로 결제가 가능한가요?,"▶ 자동차 구입대금 결제시 본인 이외의 제3자 신용카드를 이용한 결제는 불가능 합니다.

2001년 6월 재정경제부와 관련부처의 법률해석 결과, 당사자간의 동의여부를 불문하고
구매자 이외의 신용카드를 이용한 거래는 여신전문금융법 제19조에서 <위장매출전표
작성행위>에 해당됩니다.

따라서 계약자 본인 이외의 제3자 신용카드는 사용하실 수 없습니다."
3,10,[ 차량구매 > 일반 ]차량계약 후 예상납기일에 대해 알 수 있나요?,계약하신 지점(대리점)에서 확인 가능합니다.
4,1,[ 차량정비 > 일반 ]리모컨을 분실해서 일반 키로 도어를 열었더니 경보음이 울리면서 시동이 안걸려요.,
4,2,"[ 차량정비 > 일반 ]자동변속기 차량의 HOLD, O/D OFF 버튼은 어떤 때 써야 합니까?","HOLD는 ‘잠근다’라는 표현이 적절한 것 같습니다.

눈길이나 빙판길에서는 스노우 체인을 써서 출발하거나 주행하는 것이 큰 도움이 되겠지만
스노우 체인을 당장 감고 운행할 수 없을 때는 회전력이 큰 1단 기어보다 2단 기어로 출발하는 것이
타이어의 슬립을 줄여 출발을 쉽게 합니다.

자동변속기는 모든 출발이 1단이고 사용자의 마음대로 변속을 할 수 없으므로 HOLD를 사용하면
D상태에서 2단으로 출발하므로 운행을 쉽게 합니다. 또한 2, 1(L) 변속 레버를 변경시 HOLD를
작동시키면 기어를 고정시켜 주는 구실을 합니다.

O/D OFF는 ‘over drive off’ 즉 ‘높은 단수를 제어한다’는 의미입니다.

D레인지 상태에서 언덕길 주행이나 급가속이 필요한 경우 O/D OFF를 쓰게 되면 4단으로 주행하던 것을 3단으로 내려 주행시키고 4단으로는 변속이 되지 않게 하는 구실을 합니다.

간혹 D레인지 상태에서 언덕길을 주행하다 보면 60km이상에서 엔진에 힘이 떨어지고 가속 페달을 깊게
밟아도 차량이 탄력을 받지 않는 것을 경험하셨을 것입니다. 수동변속기 차량이라면 운전자가 직접
변속을 제어할 수 있지만 자동변속기 차량은 컴퓨터의 신호에 따라 변속이 되므로 적절한 변속을
이룰 수 없는 경우가 있기에 O/D OFF를 쓰면 운행이 쉬워집니다.

또한 HOLD의 기능과 같이 2(2단 출발 2단 주행), 1(L:1단 출발, 1단 주행)에서 기어를 고정시켜 주는
일을 합니다. 자동변속기 차량을 잘 알고 쓰면 수동변속기보다 더 편하고 경제성 있게 운행할 수
있음을 잊지 말아야 합니다."
4,3,"[ 차량정비 > 일반 ]자동차에서 소음이 생기는 경우, 리콜을 받을 수 있나요?","리콜을 잘못 정의하여 제품에 문제가 생겼을 경우 제품 자체를 교환해주는 것으로 알고 있거나,
어떤 고장이든 리콜 해야 한다고 생각하는 경우가 종종 있습니다. 이는 자동차회사에서 자체적으로
제품 성능을 높이기 위하여 실시하고 있는 서비스 활동을 리콜이라고 오해해서 발생되는 상황입니다.

리콜(Recall)은 사전적 의미로 불량 제품의 회수를 뜻하며 다른 용어로는 """"call back"""" 이라고도 합니다.

자동차 회사에서는 제품에서 """"안전에 관련된 문제"""" 가 확인되었을 경우 언론기관에 발표를 하고
대상고객에게 반드시 고객통지문을 발송, 불량의 원인이 되는 부품을 100% 수거해 점검하고
문제되는 부분에 대해 개선된 부품으로 교환 · 수리하는 것을 리콜로 정의하고 있습니다.

이 정의에 따르면 자동차에서 소음이 생기는 경우는 안전과 관련된 부분이 아니기 때문에 리콜은
받을 수 없습니다. 하지만 소비자의 만족도를 높이기 위하여 차후에 개선된 부품을 무상으로
교체해드리거나, 보증수리를 통해 문제를 해결합니다.

리콜은 소비자의 재산과 생명을 보호하며 동시에 기업의 신뢰성, 성실성을 가늠할 수 있는 잣대입니다.
기업은 소비자에게 피해가 발생하지 않도록 제품의 제작, 생산, 판매뿐 아니라 리콜, 보증수리를
해주며 끝까지 최선을 다해야 할 것입니다."
4,4,[ 모젠서비스 > 사용법 ]지금 타고 있는 차량에 모젠 단말기 장착이 가능한가요?,"모젠 단말기가 제공하는 텔레매틱스 서비스는 차량과의 연계가 매우 중요합니다.
 
에어백이 전개되었을때 전개신호를 보내주는 기능이라든지,
핸들에 별도의 버튼을 구성하여 단말기를 누르지 않더라도 핸들에 있는 스위치로 단말기를 조작할 수 있게 한다든지,
그리고 전원장치 및 각종 AV시스템과의 연계 등 차량 본체와 여러가지 밀접한 관련이 있습니다.
 
따라서 차량을 생산할 때 모젠 옵션 차량은 기존 차량과 구별되어 설계가 되어 있으므로,
기존 차량에 모젠 단말기를 장착하는 것은 불가능 합니다."
4,5,[ 모젠서비스 > 사용법 ]모젠이 무슨 뜻인가요?,"모젠은 국내 최고의 자동차 회사인 현대자동차와 기아자동차가 공동으로 개발하여 국내 최초로 제공하는 차량 완전 통합형 텔레매틱스 서비스의 브랜드입니다. ""새로운 자동차 생활의 시대를 열어가는 新자동차 생활인""을 지칭하고 있으며, 자동차의 최첨단 생활을 열어주는 새로운 세대라는 의미와, 고객을 중심으로 보다 풍요롭고 안전한 운전생활을 도와드리는 의미를 내포하고 있습니다."
4,6,[ 모젠서비스 > 이용단말 ]주행 중에는 단말기 조작이 안되나요?,"고객님의 안전 운행을 위해 시속 5km이상으로 주행 중에는 단말기 조작을 제한하고 있습니다.

상담원과 전화를 통해 서비스를 받는 경우가 아닌,
단말기 조작을 통해 서비스를 받기 위해서는 차를 잠시 정차한 이후에 사용하시길 바랍니다.

단, 조작 횟수가 간단한 경우에 한해서만 주행중에도 사용이 가능합니다.
예를 들어, MTS 255 단말기 기준으로 AV 조작 기능 (TV 화면은 안됨-음성만 가능),
모젠 버튼, PHONE에서 단축번호를 통한 전화연결, 내비 버튼의 현위치등록, INFO 버튼의 음성메모 및 청취기능 등은 가능합니다."
4,7,[ 블루링크 > 오류 및 A/S ][오류] 블루링크에 오류가 있을 때에는 어떻게 하나요?,"블루링크 센터로 문의 주시면 신속하게 지원해 드리겠습니다.
※ 블루링크 센터
- 전화 : 1899-0606
- 업무시간 : 평일 09:00 ~ 18:00 (토/일요일 및 공휴일 휴무)"
4,8,[ 블루링크 > 오류 및 A/S ][오류] 원격 공조 제어 서비스를 사용했는데 계속 비상등이 켜져 깜박입니다.,"원격 공조 제어 서비스 이용시 비상등이 함께 켜지는 것은 정상적인 현상입니다.
스마트키로 차량의 문을 여닫으실 때 비상등이 깜빡이는 것과 동일합니다.
또한 도로 안전상의 이유로 시동이 켜져 있다는 것을 외부에서도 확인할 수 있도록 시동과 비상등이 함께 작동됩니다."
4,9,[ 차량구매 > 일반 ]차량대금을 신용카드로 결제할 경우 소득공제가 가능한가요?,"불가능합니다.

조세특례제한법 제126조 3항 3호에 의거하여 신규로 출고되는 자동차 구입시 사용한 신용카드 금액은 소득공제 대상에서 제외됩니다.(2002년 12월1일 승인분부터 적용)"
4,10,[ 차량구매 > 일반 ]할부를 이용하여 차량을 구입하고자 합니다.구비해야할 서류는 어떤것이 있나요?,"▶ 고객의 차량 구매 지원을 위해 별도 취급수수료가 붙지 않는 新오토할부가 2013년 6월부로 재런칭되었습니다.
선수율과 할부 기간에 따라 금리 차등 운영 및 차종별 할부상품 운영 중이오니 가까운 지점(대리점)이나
계약하신 담당 카마스터에게 문의하시기 바랍니다.

※할부관련 서류는 할부이용사의 대출조건에 따라 구비서류 달라질수 있으며,
개인신용도에 따라 추가서류 필요할수 있습니다.(ex)인감증명서,재산세과세증명서등)"
5,1,[ 차량정비 > 일반 ]주행중 갑자기 시동이 꺼지는 현상이 발생합니다. 어디에 문제가 있는 것일까요?,
5,2,[ 차량구매 > 일반 ]차량구입시 신용카드는 복수의 카드로 결제가 가능한가요?,"▶ 예, 가능합니다. 신용카드 갯수에 제한없이 결제가 가능합니다."
5,3,[ 차량구매 > 일반 ]차량계약 후 해지 시 계약금은 환불 받을수 있습니까?,"차량 출고전 해지요청시에는 계약금 환불이 가능하며,
자세한 사항은 계약하신 지점(대리점)에 문의 바랍니다."
5,4,[ 블루링크 > 가입/해지/변경 ][해지] 리스차량으로 블루링크를 이용하다가 차량을 반납할 때는 어떻게 해야하나요?,"리스차량을 반납하실 때에는 이용하시던 블루링크를 반드시 해지하셔야 합니다.
차량을 반납하시면서 서비스를 해지하지 않으시면 계속 요금이 부과됩니다."
5,5,[ 차량구매 > 일반 ]본인 이외의 가족이 보유한 포인트를 사용할 수 있나요?,"'14.8월 개인정보 보호법 개정으로 가족카드/가족회원의 포인트 사용이 불가합니다.

블루멤버스 포인트 및 현대카드 M포인트 모두 본인 및 공동명의자의 포인트로만
차량구입시 사용하실 수 있습니다."
5,6,[ 모젠서비스 > 사용법 ]모젠 서비스를 해지 후 단말기 사용은 전혀 불가능 한가요? 해지해도 사용할 수 있는 기능이 있나요?,"모젠 서비스 해지를 하는 경우에도 단말기 자체 기능인 길안내(교통정보 없음) 및 AV 기능 등은 이용할 수 있습니다. 그러나 해지를 하게 되면 이동전화 서비스 및 실시간 교통정보가 반영된 길안내, 교통정보 및 에어백 전개 자동통보, 도난 추적 등 안전보안 서비스를 포함한 모젠 서비스는 이용하실 수 없습니다."
5,7,[ 차량구매 > 일반 ]현대자동차 차량을 구입하려면 어떻게 해야하나요?,"현대자동차에서는 전국 정식 지점/대리점을 통해서만 차량을 판매하고 있습니다.
그 이외의 유통경로(인터넷 등)로는 차량 공급이 되지 않사오니 차량 구입시 주의해주시기
바라며 전국 어느곳에서나 같은 제품,같은 가격으로 바른거래를 실천하고 있습니다.

참고로, 현대자동차 홈페이지 구매상담 신청을 이용시
고객님께서 원하시는 지점,대리점을 선택하여 상담신청을 하시면 현대자동차의 전문영업사원이
신속하고 친절하게 차량구매에 관한 모든 궁금증을 해결해 드리겠습니다."
5,8,[ 모젠서비스 > 사용법 ]모젠 서비스에 가입하려면 어떻게 해야 하나요?,"모젠 서비스 가입을 위해서는 차량을 구입할 때 모젠을 옵션으로 선택하시고, 차량 계약시 모젠 서비스 가입 신청서를 작성해 주셔야 합니다. 기존에 모젠 단말기가 장착된 중고차를 인수 한 후 모젠 서비스를 이용하시려면 가까운 현대자동차 지점 또는 대리점에 차량등록증과 자동차보험증서 그리고 신분증을 지참하시고 방문하시어 서비스 가입 요청을 하시면 됩니다."
5,9,[ 차량정비 > 일반 ]주행중 갑자기 엔진 출력이 떨어지면서 노킹 현상이 나타납니다. 왜 그런가요?,"엔진 출력이 급격히 떨어지고 노킹 현상(Knocking, 엔진의 연료실 벽을 작은 망치로 두드리는 듯한
소리가 나는 현상)이 지속적으로 발생하면 엔진의 오버히트를 의심해 봐야 합니다.

오버히트는 냉각수가 부족하거나 샐 경우, 워터펌프 구동벨트가 끊어진 경우, 냉각팬이 돌지 않을
경우 등 여러 가지 원인으로 인해 엔진이 과열돼 증기가 끓어오르는 현상입니다.

이때는 계기판에 있는 냉각수 온도 게이지가 적색 눈금(H)을 가리키게 됩니다.
겨울철에는 냉각수에 부동액이 들어있지 않거나 엔진 내부가 동결되어 냉각수가 순환하지 못할 때에도
동일한 현상이 발생합니다.

주행 중 엔진이 과열돼 오버히트 현상이 발생했을 때는 당황하지 말고 비상경고등을 켠 채 가능한 빨리
도로 옆 안전한 곳에 차를 세웁니다.

이때 시동을 바로 끄면 엔진이 고착되기 때문에 변속 레버를 중립에 놓고 약 2 ~ 3분간 시동을 그대로
켜놓은 상태에서 엔진 실내에 통풍이 잘 되도록 후드를 열어 놓고, 냉각수 온도 게이지가 정상(C)에
가까워질 때까지 엔진을 냉각시킵니다.
후드를 열 때는 뜨거운 수증기나 물이 뿜어져 나오거나 후드 자체가 뜨거울 수 있으므로 주의해야
합니다. 공회전 상태에서도 냉각수 온도 게이지가 떨어지지 않으면 시동을 끄고 자연적으로 엔진을
냉각시킵니다.

만약 냉각수가 차 밑으로 흘러 넘치거나 수증기가 후드 위로 새나올 경우에는 엔진을 정지시키고
차량을 견인해 정비공장에 입고 후 누수 부위를 점검하고 정비를 받아야 합니다."
5,10,[ 모젠서비스 > 사용법 ]모젠 센터의 운영 시간은 어떻게 되나요?,"모젠 센터는 365일 24시간 운영하고 있습니다. 즉, 비서서비스와 긴급구난 서비스는 언제든지 이용이 가능합니다. 단, 단말기 CS 버튼이나 1588-8111을 통한 상담원과의 통화(모젠 고객센터)는 평일 09:00~18:00에만 가능하며, 토/일요일과 공휴일에는 불가능합니다. 모젠 서비스의 개통/변경/해지와 서비스 관련 문의는 평일(09:00~18:00)에 이용해 주십시오."
